threshold,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,f2,youden_j,tp,fp,fn,tn
0.79,0.0577,0.9958,0.75,0.8303,0.8292,0.5268,0.1071,0.0708,0.0535,12,4,196,959
0.8,0.0433,0.9958,0.6923,0.8282,0.8266,0.5196,0.0814,0.0533,0.0391,9,4,199,959
0.81,0.0385,0.9969,0.7273,0.8276,0.8266,0.5177,0.0731,0.0474,0.0353,8,3,200,960
0.82,0.0337,0.9969,0.7,0.8269,0.8258,0.5153,0.0642,0.0416,0.0305,7,3,201,960
0.83,0.024,0.9979,0.7143,0.8256,0.8249,0.511,0.0465,0.0298,0.022,5,2,203,961
0.84,0.0192,0.9979,0.6667,0.8249,0.8241,0.5086,0.0374,0.0239,0.0172,4,2,204,961
0.85,0.0192,0.9979,0.6667,0.8249,0.8241,0.5086,0.0374,0.0239,0.0172,4,2,204,961
0.86,0.0144,0.9979,0.6,0.8242,0.8232,0.5062,0.0282,0.0179,0.0123,3,2,205,961
0.87,0.0048,0.9979,0.3333,0.8228,0.8215,0.5014,0.0095,0.006,0.0027,1,2,207,961
0.88,0.0048,0.999,0.5,0.8229,0.8224,0.5019,0.0095,0.006,0.0038,1,1,207,962
0.89,0.0,0.999,0.0,0.8222,0.8215,0.4995,0.0,0.0,-0.001,0,1,208,962
0.9,0.0,1.0,0.0,0.8224,0.8224,0.5,0.0,0.0,0.0,0,0,208,963
0.91,0.0,1.0,0.0,0.8224,0.8224,0.5,0.0,0.0,0.0,0,0,208,963
0.92,0.0,1.0,0.0,0.8224,0.8224,0.5,0.0,0.0,0.0,0,0,208,963
0.93,0.0,1.0,0.0,0.8224,0.8224,0.5,0.0,0.0,0.0,0,0,208,963
0.94,0.0,1.0,0.0,0.8224,0.8224,0.5,0.0,0.0,0.0,0,0,208,963
0.95,0.0,1.0,0.0,0.8224,0.8224,0.5,0.0,0.0,0.0,0,0,208,963
